tp m>2826:R,R 
bh x<2396:sv,x<2996:ccd,a>2397:cll,hcv 
hsh x>3195:R,A 
vh a<2697:R,a<2806:xxn,s>1203:pp,R 
xdq m<1248:tgh,s<1720:hp,m>1401:hkk,zn 
xpd m<313:R,a<924:A,R 
ph m>1988:qzv,m<1031:mzb,xxh 
ng a>960:A,R 
bdd x>3121:R,m<853:R,A 
fxr x<3445:gvp,dkc 
gtg x<3459:rz,a>1604:A,x<3794:A,R 
mv m>925:R,s>3630:R,R 
hst a<1998:A,s>3483:R,a>2040:R,A 
pns x>1740:snb,nmz 
tcg m>2108:R,A 
tln m>92:A,m<50:A,A 
fj s>2317:bc,A 
rcq a<1967:nzp,a<2141:prf,a<2283:np,zjj 
nmz a>921:kq,m>1301:xt,x>967:dsb,vz 
kbn a<2143:R,hv 
lkv s>1135:A,x<3237:A,fqm 
rnv x<472:R,s<3099:A,x<666:R,R 
xdn m<1491:A,x>1982:A,s>547:R,R 
jmm x<915:R,fm 
mjs a>1720:R,A 
pl s>1882:btg,ktl 
sbq s>3419:R,grz 
sm m>2593:fhj,x>3559:kh,s>866:jq,fv 
zbx a<2662:A,s>838:A,a>2717:R,A 
rr s>2431:R,a<563:A,x<1798:A,R 
sgz x<2936:pm,m<1451:jzh,A 
tbg x<893:R,A 
jzh m<1392:A,s<3334:R,R 
rng m<1339:R,m>1454:A,R 
pjr a>2546:A,a>2438:R,A 
zpf a<2995:R,a<3120:R,x>3735:R,R 
hlg s<2409:cpx,x>3284:kll,qfm 
gd s<2471:R,a<892:R,s<3085:A,R 
mnr a<2651:A,s<1101:R,A 
gnm m>3582:A,m<3417:R,m>3506:A,A 
tkv s<3179:A,s<3605:A,R 
qzk s<973:R,s<1150:A,A 
nc a>427:R,s<2198:A,R 
khm m<3350:cpj,scm 
snb a>928:qfp,x>2681:nk,ll 
ktn x>912:R,x<343:A,s<1365:R,A 
qxj a>2115:R,x>2842:R,x<2797:A,A 
mhs x<2389:hjs,jcp 
ln s<633:R,m>1391:A,A 
gjv a>998:lkd,s<726:ddq,m>3165:R,R 
lxd x<1216:R,A 
kz a>2340:A,A 
cqg x<2558:R,s<2854:R,s>3400:R,R 
zp a<929:bcn,m<2829:R,A 
qld s>2287:A,R 
zv a<2567:A,R 
lf s<2457:R,x>3376:A,a<1150:A,A 
qnk x<3486:R,s<339:A,x>3788:R,A 
rzn a<391:R,s<3170:A,R 
gnb x<2577:bzf,m>1746:A,zrg 
sqj s<1044:A,x>2031:A,A 
kj a>946:A,a>884:A,A 
gh s<1468:cb,zzv 
zsp m>2592:R,cgl 
lnt s<3555:R,m<1355:A,a<3628:A,R 
ftf s<2665:R,qh 
cx a>3042:A,A 
rb a<364:A,R 
ss a<2360:A,m<3751:A,m<3855:A,A 
xv x<1290:R,A 
zxh x>2582:zzn,x<2559:qbt,s>1335:fj,dzz 
ll x>2208:zdc,frc 
jmj x<3078:A,s>1547:R,s>1183:A,R 
msb m<1033:bfb,s>1607:dz,xbc 
xx x<779:R,kbc 
ktl m<3129:R,A 
jxc x<1598:R,x<2767:R,s>1944:kcl,qn 
knr x<2012:dtp,m<116:R,R 
frc x<1987:A,R 
fv x<3318:zzc,bxx 
mz m<1974:A,s>2251:A,R 
fqm m>1415:R,R 
nz x<3169:R,m<882:A,s>619:R,A 
vzt a<3085:R,x>3300:R,x>3160:R,R 
xg a<737:A,s>3113:R,m<2413:R,A 
pf m<3702:hk,a>1034:A,dk 
bs a>3501:R,x<917:A,x<1638:A,A 
zcg m>3536:A,R 
tn a<3038:qxj,R 
tzx m<658:jmm,a<3650:ddj,s<1847:ml,mpq 
msh s<1013:A,x>3317:gxd,rvm 
zl s>2905:R,a>250:A,x<3516:A,A 
rsp a<303:ns,m<464:qxg,tjj 
tkm s>1816:A,m<985:R,m<1030:A,A 
ns s<2123:R,a<174:mzr,m<421:jg,zl 
vfk s<587:A,sqj 
th a>3893:A,s>3044:A,s>2563:R,R 
cd a>505:R,s>2490:A,R 
rjx s>719:R,m<1172:A,x>2571:A,A 
hv m>1796:A,m<628:R,R 
xcd s>1239:R,m<1000:R,R 
rbc s<2028:fc,spz 
xbc s<808:qj,cq 
kbg m>1645:zh,x<1233:ldg,cg 
gt a<406:nms,s<849:A,A 
pfl m<1474:A,m<1555:R,A 
hzq a>2083:R,hst 
rgc a<1422:R,m>242:mhz,tln 
fvn x>2708:A,s<3603:A,s<3831:A,R 
gm x<394:ccx,lrp 
tc m<1057:A,m>1164:R,x>1867:R,R 
rp s>3372:A,a<1317:A,a>1331:tgc,zvx 
ks x>2630:A,s>1901:R,s>1635:fq,R 
zh x>1081:R,A 
pq s>2955:A,m>400:R,s<2270:A,A 
mkn a<909:R,A 
mrm m>2652:R,A 
bzl x>1884:A,a<483:rt,A 
rvm s>1095:R,a<3388:R,x<3175:A,R 
dsv m>1432:dxf,s>3469:R,x>3296:R,bdd 
jcp s>1446:R,A 
mkk m>3217:R,R 
xlh m<3669:zcg,a<3339:ggl,a>3621:lxd,cm 
hpv s<2600:A,R 
nx a>968:A,m>2608:hn,a>853:A,A 
dq m<179:R,m<284:R,m>394:jj,jpv 
plz s<3310:A,A 
pz a<492:R,a<616:R,x<1989:R,A 
mn a>1196:cfr,m>741:ftf,x<1367:pq,pn 
qzv s>2247:A,s<933:kbs,sdc 
ld s<2432:A,s>2969:zbp,x>3044:A,R 
xt a<879:R,x>1097:pcc,A 
qtf x<3413:R,x<3485:R,a>3701:R,R 
dms s>1965:tn,a>2353:tl,a<1872:mjs,jtj 
gcn x>3734:R,m<147:A,R 
cl x>3354:R,x<3148:A,a>3465:R,R 
sbl s<2594:A,R 
db x>2562:R,R 
njh x>2588:tjg,a<2368:rjx,m<1102:pjr,lh 
kbc s>932:R,m<240:A,x<1023:R,R 
frg x>1459:tkm,A 
kt a<639:R,s<3318:A,A 
fb x<2929:A,s>2906:A,R 
gv a>2235:prp,x>3389:vfn,s>2188:mh,zk 
tjg m<1087:R,s>961:R,x<2620:R,R 
ngv m<3484:R,a>388:A,a>335:R,A 
qh s>3270:A,x<1781:R,a<1155:R,R 
pd m>2333:A,R 
sdc m>2721:R,a<2532:A,R 
mzx x<1624:ldv,m<3267:R,x<1722:R,lb 
dk m<3858:A,a>835:R,x>2205:A,R 
ldt x<2874:A,x<3411:R,a>312:ql,R 
flt m<1211:R,R 
tzb s<1921:A,R 
ggl s<2594:R,s<3426:R,R 
cpx a<2127:A,R 
kmg a<3151:dsr,slj 
ck a<1006:R,x<2273:R,a>1056:A,R 
xr x<737:R,a<1772:R,R 
mh s>2798:hzq,x>3217:hlg,s<2444:cqn,ht 
bg m<1052:sh,dzx 
ccj m<1244:R,a>1352:A,m<1299:A,R 
cll s>1539:bhj,sm 
hnh x>1744:A,R 
txm x>3303:R,m<1658:zkg,tkv 
kq m>1455:R,a>970:ljn,s>1698:vds,A 
vt a<664:A,s>3338:R,A 
bzf a>3458:R,a<3037:R,m<1844:A,A 
cjp s<829:qnk,sp 
cf m>1862:A,A 
qfm a>2087:A,s>2591:R,A 
lnq s<2772:ccf,m<1333:xm,a<1349:rp,sgz 
lzg s>2594:A,m<1966:A,x>3133:R,R 
lpz x>422:R,a>695:A,A 
pv a>183:A,x>1056:A,s>3395:A,R 
vfn m<2203:rbc,pl 
rql a>1324:rk,s>1748:sl,x>1412:fh,A 
jvg a<1458:hnh,x<1522:lhq,nnl 
nms x<1217:A,s<953:A,s<1289:R,A 
vjd x>3256:gnm,xz 
vm x>890:A,a<3860:R,A 
